rated_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,season_number,episode_number,episode_title,episode_released,episode_trakt_rating,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres,rating
2024-10-31T13:02:16.316481,movie,Road Diary: Bruce Springsteen and The E Street Band,2024,,,tt32368703,1290584,,https://www.themoviedb.org/movie/1290584,2024-09-08,,,,,,,,,,Documentary,8.0
2024-10-31T13:02:16.728212,movie,Estopa: Concierto 25 aniversario,2024,,,,1373327,,https://www.themoviedb.org/movie/1373327,2024-10-18,,,,,,,,,,Documentary,10.0
2024-10-31T13:02:16.935315,movie,Selena Gomez: My Mind & Me,2022,,,tt21819250,1022256,,https://www.themoviedb.org/movie/1022256,2022-11-04,,,,,,,,,,Documentary,8.2
2024-10-31T13:02:17.145533,movie,Kate Winslet: Decidedly Authentic,2024,,,,1359054,,https://www.themoviedb.org/movie/1359054,2024-10-30,,,,,,,,,,Documentary,8.5
2024-10-31T13:02:17.357419,movie,Naturally... A Woman,2024,,,,1367390,,https://www.themoviedb.org/movie/1367390,2024-10-31,,,,,,,,,,Documentary,10.0
2024-10-31T13:02:17.571648,movie,Super/Man: The Christopher Reeve Story,2024,,,tt27902121,1128559,,https://www.themoviedb.org/movie/1128559,2024-09-21,,,,,,,,,,Documentary,8.2
2024-10-31T13:02:17.777646,movie,David Attenborough: A Life on Our Planet,2020,,,tt11989890,664280,,https://www.themoviedb.org/movie/664280,2020-09-28,,,,,,,,,,Documentary,8.5
2024-10-31T13:02:18.460248,movie,Elis & Tom: It Had to be You,2023,,,tt26255088,1030653,,https://www.themoviedb.org/movie/1030653,2023-09-21,,,,,,,,,,Documentary,8.0
2024-10-31T13:02:18.905663,movie,One Direction: This Is Us,2013,,,tt2515086,164558,,https://www.themoviedb.org/movie/164558,2013-08-28,,,,,,,,,,Documentary,8.308
2024-10-31T13:02:19.113528,movie,No Half Measures: Creating the Final Season of Breaking Bad,2013,,,tt3088036,239459,,https://www.themoviedb.org/movie/239459,2013-11-26,,,,,,,,,,Documentary,8.4
2024-10-31T13:02:20.023460,movie,Homecoming: A Film by Beyoncé,2019,,,tt10147546,593691,,https://www.themoviedb.org/movie/593691,2019-04-17,,,,,,,,,,Documentary,8.1
2024-10-31T13:02:20.232356,movie,Soy Luna: The Last Concert,2021,,,tt14006298,779783,,https://www.themoviedb.org/movie/779783,2021-02-26,,,,,,,,,,Documentary,8.0
2024-10-31T13:02:20.438892,movie,Renaissance: A Film by Beyoncé,2023,,,tt29354040,1185743,,https://www.themoviedb.org/movie/1185743,2023-12-01,,,,,,,,,,Documentary,8.6
2024-10-31T13:02:21.695566,movie,BTS: Permission to Dance on Stage - LA,2022,,,tt22010428,1022102,,https://www.themoviedb.org/movie/1022102,2022-09-08,,,,,,,,,,Documentary,8.9
2024-10-31T13:02:21.904003,movie,GHOST: Rite Here Rite Now,2024,,,tt32260498,1203397,,https://www.themoviedb.org/movie/1203397,2024-06-20,,,,,,,,,,Documentary,8.72
2024-10-31T13:02:22.110686,movie,Billie Eilish: The World's a Little Blurry,2021,,,tt11459366,654754,,https://www.themoviedb.org/movie/654754,2021-02-26,,,,,,,,,,Documentary,8.4
