rated_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,season_number,episode_number,episode_title,episode_released,episode_trakt_rating,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres,rating
2024-11-01T10:38:52.719252,movie,Troop Zero,2019,,,tt2404465,525946,,https://www.themoviedb.org/movie/525946,2019-02-01,,,,,,,,,,,7.0
2024-11-01T10:38:52.938410,movie,Never Look Away,2018,,,tt5311542,423612,,https://www.themoviedb.org/movie/423612,2018-10-03,,,,,,,,,,,7.8
2024-11-01T10:38:53.147289,movie,Only the Strong,1993,,,tt0107750,15797,,https://www.themoviedb.org/movie/15797,1993-08-27,,,,,,,,,,,6.9
2024-11-01T10:38:53.368172,movie,Primary Colors,1998,,,tt0119942,9440,,https://www.themoviedb.org/movie/9440,1998-03-20,,,,,,,,,,,6.3
2024-11-01T10:38:53.579058,movie,Shrek the Musical,2013,,,tt3070936,381696,,https://www.themoviedb.org/movie/381696,2013-09-17,,,,,,,,,,,7.2
2024-11-01T10:38:53.794932,movie,Experimenter,2015,,,tt3726704,309299,,https://www.themoviedb.org/movie/309299,2015-10-16,,,,,,,,,,,6.5
2024-11-01T10:38:54.005794,movie,The Deepest Breath,2023,,,tt24132732,1058647,,https://www.themoviedb.org/movie/1058647,2023-01-21,,,,,,,,,,,7.6
2024-11-01T10:38:54.214692,movie,Rosario Tijeras,2005,,,tt0382271,10810,,https://www.themoviedb.org/movie/10810,2005-08-12,,,,,,,,,,,6.6
2024-11-01T10:38:54.426554,movie,Don't Hang Up,2016,,,tt3610746,375355,,https://www.themoviedb.org/movie/375355,2016-10-22,,,,,,,,,,,6.2
2024-11-01T10:38:54.637435,movie,House of Sand and Fog,2003,,,tt0315983,11093,,https://www.themoviedb.org/movie/11093,2003-12-19,,,,,,,,,,,7.149
2024-11-01T10:38:54.846322,movie,J. Edgar,2011,,,tt1616195,88794,,https://www.themoviedb.org/movie/88794,2011-11-09,,,,,,,,,,,6.231
2024-11-01T10:38:55.064172,movie,Chevalier,2023,,,tt12758486,812635,,https://www.themoviedb.org/movie/812635,2023-04-20,,,,,,,,,,,6.3
2024-11-01T10:38:55.279832,movie,The Hunter,2011,,,tt1703148,70954,,https://www.themoviedb.org/movie/70954,2011-10-06,,,,,,,,,,,6.6
